source_entity,relationship_type,target_entity,source_document
Universities,PART_OF_INDUSTRY,Educational Institutions,Senegal Green Economy 25 June 2025.pdf
Analysts,PART_OF_INDUSTRY,Financial Markets,Senegal Gold Economy 26 June 2025.pdf
Kenya Maritime Authority,PART_OF_INDUSTRY,KMA,Kenya Blue Economy 25 June 2025.pdf
NGO consultancies,REQUIRES_SKILL,ReliefWeb,Lists of Job Platforms in our Countries.pdf
Energy Management Specialist,REQUIRES_SKILL,Metering Data,South Africa Yellow Economy 25 June 2025.pdf
École Nationale d'Administration,TEACHES_SKILL,Cycle B,Senegal Yellow Economy 25 June 2025.pdf
Construction Trades,HAS_CHARACTERISTIC,Physical,South Africa Iron Economy 26 June 2025.pdf
Nanny,LOCATED_IN,Jos,Kenya Lavender Economy 25 June 2025.pdf
Project Manager (Conservation),REQUIRES_SKILL,Project Management,Senegal Bronze Economy 26 June 2025.pdf
Northern Cape,PART_OF_INDUSTRY,Coal Rail Lines,South Africa Iron Economy 26 June 2025.pdf
SAWEA,PART_OF_INDUSTRY,Wind Energy,South Africa Green Economy 25 June 2025.pdf
Software Engineer,HAS_CHARACTERISTIC,Elastic,Ghana Platinum Economy 26 June 2025.pdf
Domestic Work,LOCATED_IN,South Africa,South Africa Lavender Economy 25 June 2025.pdf
Public Relations & Press Officer,REQUIRES_SKILL,Crisis communication,Senegal Orange Economy 25 June 2025.pdf
Mining (Artisanal),HAS_CHARACTERISTIC,Informal,Senegal Bronze Economy 26 June 2025.pdf
Marine Engineering,LOCATED_IN,Greater Accra,Ghana Green Economy 25 June 2025.pdf
Sustainability/Environmental Science Lecturer/Professor,TEACHES_SKILL,Climate Change,Ghana Green Economy 25 June 2025.pdf
Curriculum Developer,REQUIRES_SKILL,Instructional Design,Senegal Green Economy 25 June 2025.pdf
Drought-tolerant Varieties,REQUIRES_SKILL,Crop Improvement,Ethiopia Platinum Economy 26 June 2025.pdf
Art Director,REQUIRES_SKILL,"Adobe CC (PS, AI, ID)",South Africa Orange Economy 25 June 2025.pdf
Kenya,GOVERNED_BY,Fiscal Consolidation,Kenya Iron Economy 26 June 2025.pdf
Regional Relationship Manager - Biashara Banking (Nyanza/Western),GOVERNED_BY,Equity Bank,Kenya Gold Economy 26 June 2025.pdf
Legal and Policy Analyst,HAS_CHARACTERISTIC,Elastic,Kenya Yellow Economy 25 June 2025.pdf
Policymakers,GOVERNED_BY,Government,South Africa Platinum Economy 26 June 2025.pdf
Jimma University,HAS_PREREQUISITE,Bachelor of Science (BSc) degree,Ethiopian University Admission Prerequisites_.pdf
Artisanal Miner,PART_OF_INDUSTRY,Mining,Kenya Braonze Economy 25 June 2025.pdf
Mining,HAS_CHARACTERISTIC,Physical,Kenya Braonze Economy 25 June 2025.pdf
Fintech & Digital Finance,REQUIRES_SKILL,SQL,Kenya Gold Economy 26 June 2025.pdf
Chef de Projet Événementiel,REQUIRES_SKILL,Budgeting (Excel),Senegal Orange Economy 25 June 2025.pdf
WASH Program Manager,HAS_CHARACTERISTIC,Elastic,Ghana Green Economy 25 June 2025.pdf
Editor,PART_OF_INDUSTRY,Media House,Senegal Orange Economy 25 June 2025.pdf
SME Scale-Up Program,INFLUENCED_BY,BOS-PSE,Senegal Iron Economy 26 June 2025.pdf
Health Data Analyst,REQUIRES_SKILL,Python,Senegal Lavender Economy 25 June 2025.pdf
Radio Presenter,PART_OF_INDUSTRY,Media and Communication,Ghana Orange Economy 25 June 2025.pdf
Université Dakar-Bourguiba,TEACHES_SKILL,Finance,Senegal Gold Economy 26 June 2025.pdf
Institute for Development Studies (IDS),PART_OF_INDUSTRY,University of Nairobi (UoN),Kenya Lavender Economy 25 June 2025.pdf
Waste Management Professional,REQUIRES_SKILL,Community Sensitization,Ghana Green Economy 25 June 2025.pdf
Greater Accra,LOCATED_IN,Ministry of Food and Agriculture,Ghana Green Economy 25 June 2025.pdf
JETP Political Declaration,INFLUENCED_BY,Training,Senegal Iron Economy 26 June 2025.pdf
Broadcast Journalist,REQUIRES_SKILL,Communication,Ghana Orange Economy 25 June 2025.pdf
Monitoring and Evaluation (M&E) Experts,LEADS_TO,Plan Sénégal Émergent (PSE),Senegal Yellow Economy 25 June 2025.pdf
Ingénieur du Son / Technicien Son,PART_OF_INDUSTRY,Music & Performing Arts,Senegal Orange Economy 25 June 2025.pdf
Coastal and Marine Tourism,HAS_CHARACTERISTIC,Gig,South Africa Blue Economy 25 June 2025.pdf
African Institute for Mathematical Sciences (AIMS),TEACHES_SKILL,Master's in Mathematical Sciences,Senegal Platinum Economy 26 June 2025.pdf
Security Auditors,HAS_CHARACTERISTIC,Skilled,Ghana Platinum Economy 26 June 2025.pdf
Maintenance Technician,REQUIRES_SKILL,Grid Connection,Senegal Green Economy 25 June 2025.pdf
Sustainable Infrastructure Staff,REQUIRES_SKILL,Waste Management,Ghana Blue Economy 25 June 2025.pdf
Medicine,PART_OF_INDUSTRY,SDD,Senegal Undergraduate Admission Prerequisites_.pdf
Oil and Gas,HAS_CHARACTERISTIC,Inelastic,Ghana Iron Economy 26 June 2025.pdf
Monitoring & Evaluation,PART_OF_INDUSTRY,Social Services,Ghana Yellow Economy 25 June 2025.pdf
Senegal,IMPLEMENTS,Nationally Determined Contribution (NDC),Senegal Bronze Economy 26 June 2025.pdf
Reforestation Project Coordinator,HAS_CHARACTERISTIC,Skilled,Senegal Green Economy 25 June 2025.pdf
Contract Work,BELONGS_TO_DOMAIN,Orange Economy,Lists of Job Platforms in our Countries.pdf
Freelance Platform,BELONGS_TO_DOMAIN,Orange Economy,Lists of Job Platforms in our Countries.pdf
